Speaker,Text,Title,Page Number,Page Heading,Raw
,,THE CINEMA ,,,THE CINEMA 
,,ITS PRESENT POSITION AND  FUTURE POSSIBILITIES ,,,ITS PRESENT POSITION AND  FUTURE POSSIBILITIES 
,,BEING THE ,,,BEING THE 
,,REPORT OF AND CHIEF EVIDENCE ,,,REPORT OF AND CHIEF EVIDENCE 
,,TAKEN BY THE ,,,TAKEN BY THE 
,,CINEMA COMMISSION OF INQUIRY ,,,CINEMA COMMISSION OF INQUIRY 
,,INSTITUTED BY THE ,,,INSTITUTED BY THE 
,,NATIONAL COUNCIL OF PUBLIC MORALS ,,,NATIONAL COUNCIL OF PUBLIC MORALS 
,,LONDON  WILLIAMS AND NORGATE ,,,LONDON  WILLIAMS AND NORGATE 
,,,,,1917 
,,,,,9« TAH NOSTRAFB COUfhSHf^ 
,,JSEW YORK ,,,JSEW YORK 
,,,(#8),,## p. (#8) 
,,,(#8),,PRINTEH IN Great Britain by 
,,,(#8),,"Richard Clay & Sons, Limited, "
,,,(#8),,"brunswick st., stami'ord st., s.e. 1, "
,,,(#8),,"and bungay, suffolk. "
,,,v,,## p. v  INTRODUCTION- 
,,,v,,History of the Commission 
,"It is necessary to a right understanding of the objects of the  Commission that we should briefly explain why it was initiated  by the National Council of Public Morals. The Council had  published in June 1916 the report of the National Birth-Rate  Commission giving the results of its three years' inquiry into the  causes and effects of the declining birth-rate, and had presented  it to the Government. The Rt. Hon. W. H. Long, M.P., President  of the Local Government Board, in receiving the Commission  said — ",,v,,"It is necessary to a right understanding of the objects of the  Commission that we should briefly explain why it was initiated  by the National Council of Public Morals. The Council had  published in June 1916 the report of the National Birth-Rate  Commission giving the results of its three years' inquiry into the  causes and effects of the declining birth-rate, and had presented  it to the Government. The Rt. Hon. W. H. Long, M.P., President  of the Local Government Board, in receiving the Commission  said — "
,"*' My first duty, and a very great privilege it is, is, on  behalf of the Government and on behalf — ^may I for a moment  voice something much wider and much larger than the Govern-  ment ? — on behalf of society in the country, to thank your Com-  mission for the splendid work which you have done. The last  speaker referred to the financial cost of this work. I venture to  say, although I do not for a moment doubt that the burden in  this respect was a heavy one, that the good which you have  done by your inquiries and by your report cannot by any possi-  bility be measured in terms of money. ",,v,,"*' My first duty, and a very great privilege it is, is, on  behalf of the Government and on behalf — ^may I for a moment  voice something much wider and much larger than the Govern-  ment ? — on behalf of society in the country, to thank your Com-  mission for the splendid work which you have done. The last  speaker referred to the financial cost of this work. I venture to  say, although I do not for a moment doubt that the burden in  this respect was a heavy one, that the good which you have  done by your inquiries and by your report cannot by any possi-  bility be measured in terms of money. "
,""" I am confident that, if you have done nothing else, and I  think you have done a great deal more, you have stirred the minds  and the hearts of men in so profound a way that even the most  careless, the most indifferent, cannot be deaf to your entreaties  or regardless of your suggestions."" ^ ",,v,,""" I am confident that, if you have done nothing else, and I  think you have done a great deal more, you have stirred the minds  and the hearts of men in so profound a way that even the most  careless, the most indifferent, cannot be deaf to your entreaties  or regardless of your suggestions."" ^ "
,"Many leading articles and reviews appeared in the Press of the  United Kingdom and America on this Report, from which two  extracts may be given. ",,v,,"Many leading articles and reviews appeared in the Press of the  United Kingdom and America on this Report, from which two  extracts may be given. "
,"Church Times : ""A Royal Commission was demanded. An  even more characteristically English method, however, has been  preferred. The National Council of Public Morals, one of those  unofficial organisations which are the pride of English endeavour,  undertook the work ; the offer was welcomed by the Government,  officials of which were instructed unofficially to lend all possible ",,v,,"Church Times : ""A Royal Commission was demanded. An  even more characteristically English method, however, has been  preferred. The National Council of Public Morals, one of those  unofficial organisations which are the pride of English endeavour,  undertook the work ; the offer was welcomed by the Government,  officials of which were instructed unofficially to lend all possible "
,"New Statesman (Dr. Sidney Webb) : "" The National Council of  Public Morals has done a great public service. The Commission  has produced the most candid, the most outspoken, and the most ",,v,,"New Statesman (Dr. Sidney Webb) : "" The National Council of  Public Morals has done a great public service. The Commission  has produced the most candid, the most outspoken, and the most "
,,V ,v,,V 
,,,v,,Mi0e746 
,,,vi,,## p. vi  vi INTRODUCTION 
,"impartial statement that this country has yet had as to the  extent, the nature, and the ethical character of the voluntary  regulation of the marriage state which now prevails over the  greater part of the civilised world."" ",,vi,,"impartial statement that this country has yet had as to the  extent, the nature, and the ethical character of the voluntary  regulation of the marriage state which now prevails over the  greater part of the civilised world."" "
,"The Council, as that Commission more fully disclosed, is a  composite body of religious, scientific and. educational leaders,  and its objects are felicitously expressed in the words of H.M.  King George V which form its motto — ",,vi,,"The Council, as that Commission more fully disclosed, is a  composite body of religious, scientific and. educational leaders,  and its objects are felicitously expressed in the words of H.M.  King George V which form its motto — "
,""" The Foundations of National Glory are set in the homes  of the people. They will only remain unshaken while the  family life of our race and nation is strong, simple and pure."" ",,vi,,""" The Foundations of National Glory are set in the homes  of the people. They will only remain unshaken while the  family life of our race and nation is strong, simple and pure."" "
,"Amongst the various branches of the Council's work it has for  some years been deeply concerned with the influence of the  cinematograph, especially upon young people, with the possi-  bilities of its development and with its adaptation to national  educational purposes. The Bishop of Birmingham, the President  of the Council, took a leading part, together with the Rev. F. B.  Meyer, D.D., the Chairman of its Executive in the first Cine-  matograph Congress at the Olympia in 1913. ",,vi,,"Amongst the various branches of the Council's work it has for  some years been deeply concerned with the influence of the  cinematograph, especially upon young people, with the possi-  bilities of its development and with its adaptation to national  educational purposes. The Bishop of Birmingham, the President  of the Council, took a leading part, together with the Rev. F. B.  Meyer, D.D., the Chairman of its Executive in the first Cine-  matograph Congress at the Olympia in 1913. "
